calendar_year_month,sku,sales_usd,sales_qty,calendar_date
201607,4199-0,2154930.92,21647,2016-07-01
201607,4309-0,1084440.23,8665,2016-07-01
201607,4418-0,271607.04,3477,2016-07-01
201607,4421-0,305999.09,4194,2016-07-01
201607,4434-0,368338.06,2821,2016-07-01
201607,4467-0,829946.99,15429,2016-07-01
201607,4468-0,712725.08,13254,2016-07-01
201607,45989-0,1092742.3900000001,6445,2016-07-01
201607,4636-0,747691.69,30455,2016-07-01
201607,4639-0,145386.36000000002,6562,2016-07-01
201607,4647-0,98348.76,8812,2016-07-01
201607,4648-0,84947.88,9116,2016-07-01
201607,4694-0,143074.01,11175,2016-07-01
201607,4734-0,219156.91999999998,9793,2016-07-01
201607,4774-0,608656.97,55155,2016-07-01
201607,4775-0,243206.94,24584,2016-07-01
201607,5172-0,461817.37,1222,2016-07-01
201607,98993-0,695165.13,2838,2016-07-01
201607,98994-0,880429.4500000001,3575,2016-07-01
201607,99042-NA,9881.32,81,2016-07-01
201607,99517-LGR-1WA,1718.88,2,2016-07-01
201607,99517-LGR-1WT,1861.61,2,2016-07-01
201607,99520-LGR-1WA,4464.07,6,2016-07-01
201607,99520-LGR-1WT,979.68,1,2016-07-01
201607,99522-LG-1WA,8032.22,6,2016-07-01
201607,99524-LG-1WA,2399.1899999999996,2,2016-07-01
201607,99524-LG-1WT,1224.03,1,2016-07-01
201607,99530-LGR-1WA,2131.57,3,2016-07-01
201607,99533-LGR-1WA,9073.55,11,2016-07-01
201607,99533-LGR-1WT,857.5,2,2016-07-01
201607,99535-LG-1WA,1175.16,1,2016-07-01
201607,99537-LG-1WA,1077.4,1,2016-07-01
201607,99541-R-1WA,7647.75,15,2016-07-01
201607,99541-R-1WT,410.97,1,2016-07-01
201607,99543-R-1WA,2853.5,5,2016-07-01
201607,99544-1WA,1705.24,2,2016-07-01
201607,99544-1WT,1677.87,2,2016-07-01
201607,99548-1WA,2622.39,4,2016-07-01
201607,99548-1WT,757.81,1,2016-07-01
201607,CB-CLW2026SS,91236.01,997,2016-07-01
201608,10491-0,1913329.78,7848,2016-08-01
201608,10493-0,141831.7,541,2016-08-01
201608,11464-0,5604292.78,44717,2016-08-01
201608,11499-0,3006432.41,19762,2016-08-01
201608,2967-BR1,57765.87,626,2016-08-01
201608,3073-NA,249641.24,2875,2016-08-01
201608,3946-0,193936.19,716,2016-08-01
201608,4008-0,106186.89,4106,2016-08-01
201608,4166-0,193682.92,3117,2016-08-01
201608,4167-0,98496.67,1541,2016-08-01
201608,4198-0,794240.9400000001,9195,2016-08-01
201608,4199-0,2395055.35,24041,2016-08-01
201608,4309-0,1055446.1,8785,2016-08-01
